mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.05,0.3,3,max,0.18904355635383924,0.18904355635383924,0.12016165244723845,0.1469927100679727,0.10965455306827954,0.26630303030303026,0.26630303030303026,0.1773095883516911,0.2540402834169254,0.2825858585858586,0.26984316535307695,-0.016282828282828343,-0.015802881936151536
mcar,0.05,0.3,4,max,0.18545454545454546,0.18545454545454546,0.10600000000000001,0.1475947294557929,0.13701480876912517,0.2809639070012514,0.2809639070012514,0.18599995384473367,0.25770872805355566,0.32263057366791803,0.263448275862069,-0.04166666666666663,-0.005739547808513323
mcar,0.05,0.3,5,max,0.14961346066393816,0.14961346066393816,0.08622100954979536,0.11209832624342099,0.11816946307082268,0.23938370620514987,0.23938370620514987,0.15844896647499687,0.23953839516824849,0.24816378218657664,0.23786669542709232,-0.008780075981426771,0.001671699741156163
mcar,0.05,0.3,6,max,0.19873817034700317,0.19873817034700317,0.1523208652546192,0.16976568687318508,0.1510263789794619,0.29037607921564795,0.29037607921564795,0.19892491604488305,0.27625722889960824,0.31061899419540506,0.29268048929989604,-0.02024291497975711,-0.016423260400287798
mcar,0.05,0.3,7,max,0.19562304600267977,0.19562304600267977,0.11674854845913356,0.14239367298700473,0.14513211924181962,0.24255382626423355,0.24255382626423355,0.14736483029165956,0.24667616334283005,0.27788275073342944,0.2672127255460589,-0.03532892446919589,-0.02053656220322886
mcar,0.05,0.3,8,max,0.13799283154121864,0.13799283154121864,0.08862007168458781,0.10725915174445785,0.08516376289228096,0.35780921094597173,0.35780921094597173,0.23202266483516482,0.3247229358951665,0.37767908400841993,0.3346441386817721,-0.019869873062448196,-0.009921202786605632
mcar,0.05,0.3,9,max,0.1824264049955397,0.1824264049955397,0.12265834076717216,0.13914232422350173,0.09664766735280397,0.29624357841693666,0.29624357841693666,0.20500045500045502,0.28884081378635884,0.3203020189129937,0.30738265641284,-0.024058440496057043,-0.018541842626481175
mcar,0.15,0.0,0,max,0.0002625896383466053,0.0002625896383466053,0.0001309908959807711,0.00018365864012950914,8.628579790534433e-05,0.3266636765341041,0.3266636765341041,0.196387336627719,0.29512771996215703,0.3266636765341041,0.29512771996215703,0.0,0.0
mcar,0.15,0.0,1,max,0.0004286263627256738,0.0004286263627256738,0.00020745515955923125,0.00016093024055461788,0.000179029369228416,0.40913610340458967,0.40913610340458967,0.24048371581695752,0.3470200036801334,0.40913610340458967,0.3470200036801334,0.0,0.0
mcar,0.15,0.0,2,max,0.0002837050656060297,0.0002837050656060297,0.00019062774494608693,0.0002092885221715325,0.00014503800006675742,0.30255434694242556,0.30255434694242556,0.19176394071132719,0.2799258474576271,0.30255434694242556,0.2799258474576271,0.0,0.0
mcar,0.15,0.0,3,max,0.00021120235665098713,0.00021120235665098713,9.96018070351115e-05,9.362927610167349e-05,0.0001479690423127563,0.2965656565656566,0.2965656565656566,0.1658888927015064,0.26353395430300136,0.2965656565656566,0.26353395430300136,0.0,0.0
mcar,0.15,0.0,4,max,0.0003809176098332756,0.0003809176098332756,0.00020822684678106911,0.00019765745761755052,0.00019939777135805932,0.32191431205954024,0.32191431205954024,0.18565955875565401,0.27618037135278517,0.32191431205954024,0.27618037135278517,0.0,0.0
mcar,0.15,0.0,5,max,0.00021870689170053192,0.00021870689170053192,0.00010877549996121672,0.00011722758980607356,0.00010333462180142709,0.29497678345293377,0.29497678345293377,0.20664761445672508,0.2848899913718723,0.29497678345293377,0.2848899913718723,0.0,0.0
mcar,0.15,0.0,6,max,0.00029972273355687723,0.00029972273355687723,0.00014475905316947008,0.00013025020411544955,0.00019610653971065633,0.328951433263418,0.328951433263418,0.22428910360004128,0.30446659382245556,0.328951433263418,0.30446659382245556,0.0,0.0
mcar,0.15,0.0,7,max,0.00029683109021730325,0.00029683109021730325,0.00017736194821878077,0.00017883778991100384,0.00021876023923358346,0.28979994364609746,0.28979994364609746,0.16189095457388142,0.2700617283950617,0.28979994364609746,0.2700617283950617,0.0,0.0
mcar,0.15,0.0,8,max,0.00038244855331479727,0.00038244855331479727,0.00023474005756340954,0.0001931108075919026,0.0002063798493942049,0.3832046947757862,0.3832046947757862,0.24325206043956044,0.34238323933805703,0.3832046947757862,0.34238323933805703,0.0,0.0
