mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,statistic_mi,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.05,0.05,6,max,0.04821428571428571,0.04821428571428571,0.038214285714285715,0.04203149001536098,0.04237619363384179,0.21111111111111114,0.21111111111111114,0.0071428571428571175,0.16800000000000004,0.21666666666666667,0.17200000000000004,-0.005555555555555536,-0.0040000000000000036
mcar,0.05,0.05,7,max,0.0511096884336321,0.0511096884336321,0.030665813060179258,0.03746087636932707,0.04371218559912051,0.13142857142857134,0.13142857142857134,0.015574302401038298,0.12923909945853518,0.11428571428571421,0.12097463664861785,0.017142857142857126,0.008264462809917328
mcar,0.05,0.05,8,max,0.03415273680760406,0.03415273680760406,0.021265158964274007,0.026327737111086835,0.019806075605239715,0.23809523809523808,0.23076923076923073,0.23809523809523808,0.10463821892393321,0.271978021978022,0.11873840445269013,-0.03388278388278393,-0.014100185528756914
mcar,0.05,0.05,9,max,0.04821428571428571,0.04821428571428571,0.030357142857142853,0.03554761904761904,0.01781525998418457,0.19356187290969906,0.19356187290969906,0.12878787878787873,0.236,0.19356187290969906,0.248,0.0,-0.01200000000000001
mcar,0.05,0.1,0,max,0.0948905109489051,0.0948905109489051,0.058394160583941604,0.07700729927007298,0.027628563821057307,0.1513342696629213,0.1513342696629213,0.14492753623188404,0.08196470857841265,0.1513342696629213,0.10083263310671453,0.0,-0.018867924528301883
mcar,0.05,0.1,1,max,0.096,0.096,0.072,0.08657777777777777,0.0828719470723204,0.15653804093110446,0.15653804093110446,0.0714285714285714,0.12733224222585926,0.17778472113732235,0.14959083469721768,-0.021246680206217894,-0.022258592471358418
mcar,0.05,0.1,2,max,0.08450704225352113,0.08450704225352113,0.056338028169014086,0.06514084507042253,0.0716369533559875,0.13389799963957472,0.13389799963957472,0.12248186946011286,0.14980158730158732,0.1562443683546585,0.1617063492063493,-0.022346368715083775,-0.011904761904761973
mcar,0.05,0.1,3,max,0.09375,0.09375,0.059375,0.07360197368421054,0.059105079429446185,0.14310264021246677,0.14310264021246677,0.03076923076923077,0.15532664678774732,0.15856897359787525,0.15112496611547843,-0.015466333385408482,0.004201680672268893
mcar,0.05,0.1,4,max,0.0967741935483871,0.0967741935483871,0.053225806451612914,0.07404692082111436,0.0931773361598599,0.0584291187739463,0.0584291187739463,0.016666666666666607,0.10411810411810407,0.09195402298850575,0.13442113442113446,-0.03352490421455945,-0.030303030303030387
mcar,0.05,0.1,5,max,0.07086614173228346,0.07086614173228346,0.040944881889763786,0.05572380375529982,0.053044702764695584,0.22285714285714286,0.22285714285714286,0.0714285714285714,0.161543098251959,0.2571428571428571,0.18585493269037578,-0.03428571428571425,-0.02431183443841678
mcar,0.05,0.1,6,max,0.1,0.1,0.0757142857142857,0.08396226415094339,0.07284175413135136,0.21111111111111114,0.21111111111111114,0.08571428571428574,0.19600000000000006,0.21666666666666667,0.17200000000000004,-0.005555555555555536,0.02400000000000002
mcar,0.05,0.1,7,max,0.09848484848484848,0.09848484848484848,0.0590909090909091,0.07128982128982128,0.08459699271453044,0.12571428571428567,0.12571428571428567,0.0304996755353667,0.12923909945853518,0.11428571428571421,0.12097463664861785,0.011428571428571455,0.008264462809917328
mcar,0.05,0.1,8,max,0.06666666666666667,0.06666666666666667,0.04444444444444444,0.05283950617283951,0.03286666654464045,0.2698412698412698,0.22527472527472525,0.2698412698412698,0.0923933209647495,0.271978021978022,0.11873840445269013,-0.0021367521367521847,-0.026345083487940624
mcar,0.05,0.1,9,max,0.09285714285714286,0.09285714285714286,0.06142857142857143,0.07093023255813953,0.04931469474803316,0.19356187290969906,0.19356187290969906,0.0757575757575758,0.20400000000000007,0.19356187290969906,0.248,0.0,-0.04399999999999993
mcar,0.05,0.2,0,max,0.1386861313868613,0.1386861313868613,0.08613138686131386,0.11270567858468389,0.05813944622078783,0.1457162921348315,0.1457162921348315,0.14492753623188404,0.0779161255824613,0.1513342696629213,0.10083263310671453,-0.00561797752808979,-0.022916507524253227
mcar,0.05,0.2,1,max,0.144,0.144,0.10880000000000001,0.12917647058823528,0.1125121726456923,0.1295110139040775,0.1295110139040775,0.06797235023041476,0.11882160392798691,0.17778472113732235,0.14959083469721768,-0.04827370723324487,-0.03076923076923077
mcar,0.05,0.2,2,max,0.1267605633802817,0.1267605633802817,0.08450704225352113,0.09671361502347417,0.09429765575726676,0.12248186946011286,0.1128131194809876,0.12248186946011286,0.13690476190476186,0.1562443683546585,0.1617063492063493,-0.033762498894545634,-0.024801587301587436
mcar,0.05,0.2,3,max,0.140625,0.140625,0.090625,0.1101831896551724,0.05814636510385519,0.14888298703327607,0.14888298703327607,0.03076923076923077,0.15952832746001622,0.15856897359787525,0.15112496611547843,-0.00968598656459918,0.008403361344537785
mcar,0.05,0.2,4,max,0.13709677419354838,0.13709677419354838,0.07903225806451612,0.1104344963791968,0.12250674108681844,0.09195402298850575,0.09195402298850575,0.033333333333333326,0.1495726495726496,0.09195402298850575,0.13442113442113446,0.0,0.015151515151515138
mcar,0.05,0.2,5,max,0.11023622047244094,0.11023622047244094,0.06456692913385827,0.08277318993662376,0.05935644242983344,0.22285714285714286,0.22285714285714286,0.0714285714285714,0.161543098251959,0.2571428571428571,0.18585493269037578,-0.03428571428571425,-0.02431183443841678
mcar,0.05,0.2,6,max,0.15,0.15,0.11428571428571428,0.12803571428571428,0.0985179727443769,0.2055555555555556,0.2055555555555556,0.021428571428571352,0.16800000000000004,0.21666666666666667,0.17200000000000004,-0.011111111111111072,-0.0040000000000000036
